Vardas               Pavarde               Vidurkis (med.)     Vidurkis (vid.)
------------------------------------------------------------------------------
Abrahimas            Carkus                3.00                3.20
Abrahimas            Carkus                3.20                3.52
Abrahimas            Ezynas                2.40                2.36
Abrahimas            Abaranas              2.80                3.12
Abrahimas            Ferdinandas           2.60                3.00
Abrahimas            Ecka                  2.80                2.84
Abrahimas            Carkauskas            4.80                4.56
Abrahimas            Fabricijus            4.40                4.84
Abrahimas            Carkus                4.00                3.36
Abrahimas            Donelaitis            4.60                4.80
Abrahimas            Auditera              2.60                2.44
Abrahimas            Carkauskas            4.20                4.40
Abrahimas            Ezynas                3.60                3.48
Abrahimas            Carkauskas            4.00                4.28
Abrahimas            Ceberekas             3.80                3.24
Abrahimas            Donelaitis            2.80                3.00
Abrahimas            Carkus                4.00                3.40
Abrahimas            Ochmanas              4.80                4.88
Abrahimas            Auditera              4.80                4.96
Abrahimas            Carkus                2.20                2.20
Abrahimas            Abaranas              1.60                1.76
Abrahimas            Ceberekas             4.40                4.28
Abrahimas            Ochmanas              4.60                4.28
Abrahimas            Auditera              2.60                2.48
Abrahimas            Jablanskas            2.00                2.04
Abrahimas            Fenclavas             4.20                3.64
Abrahimas            Zabaliuna             3.60                3.48
Abrahimas            Zabaliuna             4.00                3.92
Abrahimas            Abaranas              4.00                4.28
Abrahimas            Ferdinandas           1.00                1.28
Abrahimas            Abaranas              4.40                4.56
Abrahimas            Ezynas                3.60                3.56
Abrahimas            Ezynas                4.60                4.32
Abrahimas            Ochmanas              2.80                3.00
Adalberta            Farsavicius           4.20                4.44
Adalberta            Ceberekas             3.80                3.52
Adalberta            Ceberekas             2.60                2.24
Adalberta            Fabricijus            4.80                4.72
Adalberta            Ecka                  2.20                2.56
Adalberta            Donelaitis            2.40                3.04
Adalberta            Carkauskas            3.40                3.44
Adalberta            Farsavicius           4.20                4.16
Adalberta            Fenclavas             3.00                2.48
Adalberta            Fabricijus            2.80                2.36
Adalberta            Abaranas              4.00                3.88
Adalberta            Auditera              2.20                2.60
Adalberta            Ochmanas              3.80                3.76
Adalberta            Ezynas                4.40                4.36
Adalberta            Auditera              3.80                3.44
Adalberta            Carkus                3.20                3.36
Adalberta            Jablanskas            3.60                3.52
Adalberta            Ferdinandas           2.20                2.20
Adalberta            Ceberekas             2.60                2.04
Adalberta            Ferdinandas           4.20                4.04
Adalberta            Zabaliuna             1.60                1.84
Adalberta            Donelaitis            3.40                3.56
Adalberta            Ceberekas             4.80                4.80
Adalberta            Ceberekas             3.00                3.04
Adalberta            Auditera              4.80                4.64
Adalberta            Fabricijus            2.00                2.16
Adalberta            Carkus                3.20                3.36
Adalberta            Ochmanas              3.40                3.08
Adalberta            Abaranas              1.40                1.64
Apolinaras           Zabaliuna             4.60                4.92
Apolinaras           Donelaitis            4.80                4.52
Apolinaras           Ceberekas             1.20                1.56
Apolinaras           Ferdinandas           3.40                3.20
Apolinaras           Ceberekas             4.20                3.92
Apolinaras           Ferdinandas           4.20                4.48
Apolinaras           Auditera              4.40                4.60
Apolinaras           Ferdinandas           3.20                3.44
Apolinaras           Fabricijus            1.00                1.52
Apolinaras           Ezynas                4.60                4.68
Apolinaras           Fenclavas             3.20                3.20
Apolinaras           Jablanskas            2.00                2.44
Apolinaras           Auditera              4.00                4.24
Apolinaras           Zabaliuna             4.60                4.48
Apolinaras           Carkauskas            2.40                2.68
