Vardas               Pavarde               Vidurkis (med.)     Vidurkis (vid.)
------------------------------------------------------------------------------
Abrahimas            Carkus                3.20                3.00
Abrahimas            Carkus                3.52                3.20
Abrahimas            Ezynas                2.36                2.40
Abrahimas            Abaranas              3.12                2.80
Abrahimas            Ferdinandas           3.00                2.60
Abrahimas            Ecka                  2.84                2.80
Abrahimas            Carkauskas            4.56                4.80
Abrahimas            Fabricijus            4.84                4.40
Abrahimas            Carkus                3.36                4.00
Abrahimas            Donelaitis            4.80                4.60
Abrahimas            Auditera              2.44                2.60
Abrahimas            Carkauskas            4.40                4.20
Abrahimas            Ezynas                3.48                3.60
Abrahimas            Carkauskas            4.28                4.00
Abrahimas            Ceberekas             3.24                3.80
Abrahimas            Donelaitis            3.00                2.80
Abrahimas            Carkus                3.40                4.00
Abrahimas            Ochmanas              4.88                4.80
Abrahimas            Auditera              4.96                4.80
Abrahimas            Carkus                2.20                2.20
Abrahimas            Abaranas              1.76                1.60
Abrahimas            Ceberekas             4.28                4.40
Abrahimas            Ochmanas              4.28                4.60
Abrahimas            Auditera              2.48                2.60
Abrahimas            Jablanskas            2.04                2.00
Abrahimas            Fenclavas             3.64                4.20
Abrahimas            Zabaliuna             3.48                3.60
Abrahimas            Zabaliuna             3.92                4.00
Abrahimas            Abaranas              4.28                4.00
Abrahimas            Ferdinandas           1.28                1.00
Abrahimas            Abaranas              4.56                4.40
Abrahimas            Ezynas                3.56                3.60
Abrahimas            Ezynas                4.32                4.60
Abrahimas            Ochmanas              3.00                2.80
Adalberta            Farsavicius           4.44                4.20
Adalberta            Ceberekas             3.52                3.80
Adalberta            Ceberekas             2.24                2.60
Adalberta            Fabricijus            4.72                4.80
Adalberta            Ecka                  2.56                2.20
Adalberta            Donelaitis            3.04                2.40
Adalberta            Carkauskas            3.44                3.40
Adalberta            Farsavicius           4.16                4.20
Adalberta            Fenclavas             2.48                3.00
Adalberta            Fabricijus            2.36                2.80
Adalberta            Abaranas              3.88                4.00
Adalberta            Auditera              2.60                2.20
Adalberta            Ochmanas              3.76                3.80
Adalberta            Ezynas                4.36                4.40
Adalberta            Auditera              3.44                3.80
Adalberta            Carkus                3.36                3.20
Adalberta            Jablanskas            3.52                3.60
Adalberta            Ferdinandas           2.20                2.20
Adalberta            Ceberekas             2.04                2.60
Adalberta            Ferdinandas           4.04                4.20
Adalberta            Zabaliuna             1.84                1.60
Adalberta            Donelaitis            3.56                3.40
Adalberta            Ceberekas             4.80                4.80
Adalberta            Ceberekas             3.04                3.00
Adalberta            Auditera              4.64                4.80
Adalberta            Fabricijus            2.16                2.00
Adalberta            Carkus                3.36                3.20
Adalberta            Ochmanas              3.08                3.40
Adalberta            Abaranas              1.64                1.40
Apolinaras           Zabaliuna             4.92                4.60
Apolinaras           Donelaitis            4.52                4.80
Apolinaras           Ceberekas             1.56                1.20
Apolinaras           Ferdinandas           3.20                3.40
Apolinaras           Ceberekas             3.92                4.20
Apolinaras           Carkauskas            5.20                4.40
Apolinaras           Ferdinandas           4.48                4.20
Apolinaras           Auditera              4.60                4.40
Apolinaras           Ferdinandas           3.44                3.20
Apolinaras           Fabricijus            1.52                1.00
Apolinaras           Ezynas                4.68                4.60
Apolinaras           Fenclavas             3.20                3.20
Apolinaras           Jablanskas            2.44                2.00
Apolinaras           Auditera              4.24                4.00
Apolinaras           Zabaliuna             4.48                4.60
Apolinaras           Carkauskas            2.68                2.40
Apolinaras           Abaranas              3.48                3.20
Apolinaras           Carkauskas            3.32                3.60
Apolinaras           Abaranas              2.68                2.60
Apolinaras           Carkauskas            2.28                2.00
Apolinaras           Abaranas              2.48                2.80
Apolinaras           Donelaitis            1.40                1.40
Apolinaras           Donelaitis            2.64                2.40
Apolinaras           Ecka                  4.16                4.20
Apolinaras           Ochmanas              4.16                4.40
Apolinaras           Fenclavas             1.76                1.60
Apolinaras           Ferdinandas           2.32                2.60
Apolinaras           Ferdinandas           1.48                1.00
Apolinaras           Donelaitis            2.92                2.60
Apolinaras           Fabricijus            2.44                2.80
Apolinaras           Zabaliuna             4.04                4.40
Apolinaras           Ferdinandas           3.28                3.40
Apolinaras           Carkus                2.40                2.60
Drovydas             Donelaitis            3.64                3.60
Drovydas             Auditera              4.60                4.40
Drovydas             Ecka                  1.88                1.80
Drovydas             Carkauskas            4.80                4.80
Drovydas             Auditera              1.88                1.80
Drovydas             Ecka                  2.56                2.60
Drovydas             Ochmanas              2.76                3.20
Drovydas             Ezynas                2.32                2.00
Drovydas             Donelaitis            4.84                4.20
Drovydas             Ferdinandas           4.88                4.40
Drovydas             Ceberekas             4.44                4.40
Drovydas             Fenclavas             3.52                3.80
Drovydas             Ceberekas             3.92                3.80
Drovydas             Zabaliuna             4.60                4.80
Drovydas             Ochmanas              4.40                4.80
Drovydas             Zabaliuna             1.44                1.00
Drovydas             Ochmanas              2.08                2.40
Drovydas             Ferdinandas           1.88                1.80
Drovydas             Fabricijus            2.32                1.60
Drovydas             Auditera              2.20                2.20
Drovydas             Zabaliuna             4.56                4.20
Drovydas             Farsavicius           2.72                2.80
Drovydas             Zabaliuna             2.24                3.00
Drovydas             Ferdinandas           1.88                2.00
Drovydas             Farsavicius           4.00                4.40
Drovydas             Zabaliuna             3.24                3.60
Drovydas             Zabaliuna             3.28                3.20
Drovydas             Ochmanas              3.76                3.80
Drovydas             Carkauskas            2.76                2.80
Drovydas             Fabricijus            2.20                1.80
Dzeremajus           Ecka                  2.48                2.60
Dzeremajus           Jablanskas            3.60                3.80
Dzeremajus           Carkus                3.68                3.40
Dzeremajus           Farsavicius           1.40                1.40
Dzeremajus           Ceberekas             3.76                3.40
Dzeremajus           Ezynas                3.64                3.80
Dzeremajus           Carkauskas            3.56                3.60
Dzeremajus           Ochmanas              3.72                4.20
Dzeremajus           Ezynas                2.28                2.40
Dzeremajus           Ezynas                4.92                4.80
Dzeremajus           Donelaitis            3.16                3.40
Dzeremajus           Ferdinandas           1.04                1.00
Dzeremajus           Ochmanas              4.08                4.00
Dzeremajus           Ochmanas              1.68                1.20
Dzeremajus           Donelaitis            4.32                4.00
Dzeremajus           Fabricijus            2.96                3.20
Dzeremajus           Ferdinandas           4.28                3.60
Dzeremajus           Jablanskas            5.04                4.80
Dzeremajus           Fenclavas             3.52                2.80
