Vardas               Pavarde               Vidurkis (med.)     Vidurkis (vid.)
------------------------------------------------------------------------------
Abrahimas            Fenclavas             7.56                7.60
Abrahimas            Abaranas              6.76                7.00
Abrahimas            Zabaliuna             5.40                5.00
Abrahimas            Farsavicius           5.36                5.20
Abrahimas            Jablanskas            8.32                8.20
Abrahimas            Donelaitis            5.44                5.40
Abrahimas            Jablanskas            5.80                5.40
Abrahimas            Zabaliuna             5.60                5.20
Abrahimas            Jablanskas            5.40                5.20
Abrahimas            Fenclavas             5.72                5.60
Abrahimas            Abaranas              5.76                5.00
Abrahimas            Abaranas              6.92                6.40
Abrahimas            Ochmanas              5.24                5.60
Abrahimas            Ferdinandas           5.84                6.00
Abrahimas            Ezynas                5.72                5.60
Abrahimas            Jablanskas            6.52                6.20
Abrahimas            Ezynas                7.08                7.80
Abrahimas            Carkus                8.04                8.20
Abrahimas            Ezynas                7.56                7.20
Abrahimas            Abaranas              5.60                5.60
Abrahimas            Auditera              8.28                8.40
Abrahimas            Farsavicius           7.56                7.60
Abrahimas            Fabricijus            7.48                8.20
Abrahimas            Donelaitis            5.88                5.80
Abrahimas            Abaranas              6.44                5.80
Abrahimas            Ferdinandas           6.36                5.80
Abrahimas            Donelaitis            7.96                8.40
Abrahimas            Jablanskas            7.48                7.40
Abrahimas            Jablanskas            7.56                7.20
Adalberta            Auditera              6.20                6.00
Adalberta            Ezynas                6.20                6.80
Adalberta            Carkus                5.56                5.20
Adalberta            Ferdinandas           5.80                5.40
Adalberta            Farsavicius           5.68                5.60
Adalberta            Carkauskas            6.16                6.40
Adalberta            Ecka                  8.28                8.60
Adalberta            Ecka                  5.56                6.00
Adalberta            Zabaliuna             6.08                6.60
Adalberta            Fenclavas             7.00                7.40
Adalberta            Fabricijus            8.00                8.00
Adalberta            Ceberekas             5.48                6.00
Adalberta            Carkus                6.80                7.40
Adalberta            Ferdinandas           5.52                5.60
Adalberta            Fabricijus            6.76                6.40
Adalberta            Abaranas              6.36                6.20
Adalberta            Auditera              5.96                5.80
Adalberta            Ochmanas              5.12                5.20
Adalberta            Abaranas              6.80                7.00
Adalberta            Ecka                  6.36                6.40
Adalberta            Carkauskas            8.36                8.80
Adalberta            Donelaitis            6.32                6.00
Adalberta            Carkauskas            5.72                5.60
Adalberta            Ceberekas             5.80                6.00
Apolinaras           Fabricijus            5.24                5.60
Apolinaras           Ferdinandas           8.28                8.60
Apolinaras           Farsavicius           7.76                7.20
Apolinaras           Fabricijus            6.36                6.00
Apolinaras           Ceberekas             7.88                7.80
Apolinaras           Ochmanas              7.64                8.00
Apolinaras           Ferdinandas           8.88                9.00
Apolinaras           Zabaliuna             8.48                8.40
Apolinaras           Ferdinandas           6.16                6.40
Apolinaras           Jablanskas            6.96                6.60
Apolinaras           Carkus                6.52                6.80
Apolinaras           Auditera              5.44                5.20
Apolinaras           Ceberekas             7.44                7.60
Apolinaras           Abaranas              5.56                5.40
Apolinaras           Farsavicius           5.20                5.60
Apolinaras           Ecka                  7.20                7.80
Apolinaras           Ecka                  7.84                7.80
Apolinaras           Jablanskas            5.32                5.40
Apolinaras           Fenclavas             5.36                5.00
Apolinaras           Zabaliuna             6.68                6.40
Apolinaras           Carkauskas            5.40                5.80
Apolinaras           Fabricijus            4.92                5.20
Apolinaras           Carkauskas            6.52                6.20
Apolinaras           Carkauskas            6.72                6.80
Apolinaras           Abaranas              6.64                6.20
Apolinaras           Auditera              6.52                6.60
Apolinaras           Carkauskas            6.00                5.80
Apolinaras           Donelaitis            5.64                5.20
