Vardas               Pavarde               Vidurkis (med.)     Vidurkis (vid.)
------------------------------------------------------------------------------
Abrahimas            Zabaliuna             5.60                5.56
Abrahimas            Farsavicius           7.20                7.76
Abrahimas            Fenclavas             7.20                6.60
Abrahimas            Ceberekas             5.20                5.40
Abrahimas            Jablanskas            7.20                6.80
Abrahimas            Ochmanas              6.60                6.16
Abrahimas            Abaranas              5.60                5.76
Abrahimas            Fabricijus            7.40                7.32
Abrahimas            Zabaliuna             6.20                6.16
Abrahimas            Ceberekas             5.80                6.20
Abrahimas            Fabricijus            7.40                7.36
Abrahimas            Ecka                  6.40                7.20
Abrahimas            Abaranas              8.00                8.00
Abrahimas            Zabaliuna             5.00                5.00
Abrahimas            Ceberekas             4.60                5.44
Abrahimas            Ezynas                6.40                6.16
Abrahimas            Abaranas              5.20                5.08
Abrahimas            Auditera              5.40                5.28
Abrahimas            Fabricijus            5.80                5.96
Abrahimas            Auditera              6.20                6.24
Abrahimas            Farsavicius           5.80                5.84
Abrahimas            Carkus                4.20                5.04
Abrahimas            Donelaitis            8.20                7.80
Abrahimas            Carkus                7.40                7.80
Abrahimas            Carkauskas            7.40                7.52
Abrahimas            Abaranas              6.40                6.76
Abrahimas            Farsavicius           8.00                7.64
Abrahimas            Ferdinandas           8.80                8.36
Abrahimas            Donelaitis            7.00                7.12
Abrahimas            Farsavicius           6.20                6.04
Abrahimas            Farsavicius           6.20                6.40
Abrahimas            Auditera              6.60                6.76
Abrahimas            Ecka                  5.20                5.08
Abrahimas            Ochmanas              8.20                7.76
Abrahimas            Jablanskas            6.60                6.44
Abrahimas            Fenclavas             5.00                5.20
Abrahimas            Zabaliuna             7.00                6.60
Abrahimas            Carkauskas            6.80                6.72
Abrahimas            Ceberekas             5.40                5.40
Abrahimas            Fenclavas             5.80                5.24
Abrahimas            Fabricijus            6.20                6.28
Abrahimas            Ceberekas             7.40                7.04
Abrahimas            Abaranas              5.80                5.56
Abrahimas            Carkus                6.20                6.20
Abrahimas            Ceberekas             5.20                5.28
Abrahimas            Ochmanas              5.20                5.20
Abrahimas            Zabaliuna             5.00                5.12
Abrahimas            Fabricijus            7.60                7.56
Abrahimas            Farsavicius           7.40                7.60
Abrahimas            Jablanskas            5.40                5.20
Abrahimas            Auditera              5.20                5.52
Abrahimas            Ferdinandas           5.40                5.52
Abrahimas            Abaranas              5.20                5.44
Abrahimas            Carkauskas            6.40                6.00
Abrahimas            Ceberekas             5.80                5.48
Abrahimas            Carkauskas            5.80                6.04
Abrahimas            Ezynas                5.20                5.08
Abrahimas            Ferdinandas           5.60                5.48
Abrahimas            Carkauskas            6.60                6.80
Abrahimas            Ezynas                8.00                8.16
Abrahimas            Carkus                6.40                6.88
Abrahimas            Donelaitis            6.40                6.84
Abrahimas            Abaranas              6.60                6.60
Abrahimas            Carkus                8.60                8.04
Abrahimas            Fenclavas             5.20                5.40
Abrahimas            Fabricijus            5.20                5.36
Abrahimas            Ochmanas              7.60                7.36
Abrahimas            Zabaliuna             7.00                7.44
Abrahimas            Ecka                  8.00                8.04
Abrahimas            Jablanskas            8.00                7.76
Abrahimas            Ecka                  5.60                5.80
Abrahimas            Ecka                  7.20                7.36
