Vardas               Pavarde               Vidurkis (med.)     Vidurkis (vid.)
------------------------------------------------------------------------------
                                           0.00                0.00
Regimalda            Donelaitis            3.40                3.64
Regimalda            Ferdinandas           2.60                2.48
Regimalda            Donelaitis            3.00                3.44
Regimalda            Carkauskas            4.20                4.04
Regimalda            Jablanskas            3.60                3.64
Regimalda            Carkauskas            2.00                1.92
Regimalda            Ochmanas              4.00                3.84
Regimalda            Donelaitis            1.80                2.00
Regimalda            Ferdinandas           1.20                1.32
Regimalda            Ecka                  5.00                4.64
Regimalda            Ochmanas              3.60                3.56
Regimalda            Ecka                  4.20                4.00
Regimalda            Jablanskas            4.40                4.88
Regimalda            Auditera              2.60                2.16
Regimalda            Ceberekas             3.00                3.36
Regimalda            Abaranas              2.20                2.00
Regimalda            Jablanskas            3.40                3.32
Regimalda            Ochmanas              4.20                4.44
Regimalda            Zabaliuna             3.00                3.48
Regimalda            Ochmanas              1.60                1.48
Regimalda            Abaranas              2.60                2.60
Regimalda            Jablanskas            3.40                3.60
Regimalda            Carkus                4.40                4.08
Regimalda            Fenclavas             4.60                4.60
Regimalda            Jablanskas            5.00                4.52
Regimalda            Zabaliuna             4.80                4.60
Regimalda            Fenclavas             1.60                2.00
Regimalda            Carkus                3.00                3.48
Regimalda            Ceberekas             2.60                2.84
Regimalda            Carkus                4.60                4.24
Regimalda            Abaranas              2.40                2.88
Regimalda            Abaranas              3.80                3.84
Regimalda            Ferdinandas           2.00                2.52
Regimalda            Farsavicius           2.80                3.04
Regimalda            Fabricijus            2.80                2.68
Regimalda            Zabaliuna             4.00                3.56
Regimalda            Abaranas              4.40                4.64
Regimalda            Ceberekas             4.00                4.04
Regimalda            Carkauskas            4.60                4.88
Regimalda            Auditera              2.00                1.80
Regimalda            Abaranas              5.00                4.84
Regimalda            Auditera              2.40                2.20
Regimalda            Ecka                  2.40                2.36
Regimalda            Ochmanas              2.20                2.56
Regimalda            Carkauskas            3.20                3.52
Regimalda            Ecka                  4.00                4.40
Regimalda            Ceberekas             3.20                3.24
Regimalda            Auditera              3.80                4.40
Regimalda            Donelaitis            2.00                1.92
Regimalda            Auditera              4.20                3.88
Regimalda            Donelaitis            3.40                2.92
