Vardas               Pavarde               Vidurkis (med.)     Vidurkis (vid.)
------------------------------------------------------------------------------
Abrahimas            Fenclavas             7.60                7.56
Abrahimas            Abaranas              7.00                6.76
Abrahimas            Zabaliuna             5.00                5.40
Abrahimas            Farsavicius           5.20                5.36
Abrahimas            Jablanskas            8.20                8.32
Abrahimas            Donelaitis            5.40                5.44
Abrahimas            Jablanskas            5.40                5.80
Abrahimas            Zabaliuna             5.20                5.60
Abrahimas            Jablanskas            5.20                5.40
Abrahimas            Fenclavas             5.60                5.72
Abrahimas            Abaranas              5.00                5.76
Abrahimas            Abaranas              6.40                6.92
Abrahimas            Ochmanas              5.60                5.24
Abrahimas            Ferdinandas           6.00                5.84
Abrahimas            Ezynas                5.60                5.72
Abrahimas            Jablanskas            6.20                6.52
Abrahimas            Ezynas                7.80                7.08
Abrahimas            Carkus                8.20                8.04
Abrahimas            Ezynas                7.20                7.56
Abrahimas            Abaranas              5.60                5.60
Abrahimas            Auditera              8.40                8.28
Abrahimas            Farsavicius           7.60                7.56
Abrahimas            Fabricijus            8.20                7.48
Abrahimas            Donelaitis            5.80                5.88
Abrahimas            Abaranas              5.80                6.44
Abrahimas            Ferdinandas           5.80                6.36
Abrahimas            Donelaitis            8.40                7.96
Abrahimas            Jablanskas            7.40                7.48
Abrahimas            Jablanskas            7.20                7.56
Adalberta            Auditera              6.00                6.20
Adalberta            Ezynas                6.80                6.20
Adalberta            Carkus                5.20                5.56
Adalberta            Ferdinandas           5.40                5.80
Adalberta            Farsavicius           5.60                5.68
Adalberta            Carkauskas            6.40                6.16
Adalberta            Ecka                  8.60                8.28
Adalberta            Ecka                  6.00                5.56
Adalberta            Zabaliuna             6.60                6.08
Adalberta            Fenclavas             7.40                7.00
Adalberta            Fabricijus            8.00                8.00
Adalberta            Ceberekas             6.00                5.48
Adalberta            Carkus                7.40                6.80
Adalberta            Ferdinandas           5.60                5.52
Adalberta            Fabricijus            6.40                6.76
Adalberta            Abaranas              6.20                6.36
Adalberta            Auditera              5.80                5.96
Adalberta            Ochmanas              5.20                5.12
Adalberta            Abaranas              7.00                6.80
Adalberta            Ecka                  6.40                6.36
Adalberta            Carkauskas            8.80                8.36
Adalberta            Donelaitis            6.00                6.32
Adalberta            Carkauskas            5.60                5.72
Adalberta            Ceberekas             6.00                5.80
Apolinaras           Fabricijus            5.60                5.24
Apolinaras           Ferdinandas           8.60                8.28
Apolinaras           Farsavicius           7.20                7.76
Apolinaras           Fabricijus            6.00                6.36
Apolinaras           Ceberekas             7.80                7.88
Apolinaras           Carkauskas            4.40                5.20
Apolinaras           Ochmanas              8.00                7.64
Apolinaras           Ferdinandas           9.00                8.88
Apolinaras           Zabaliuna             8.40                8.48
Apolinaras           Ferdinandas           6.40                6.16
Apolinaras           Jablanskas            6.60                6.96
Apolinaras           Carkus                6.80                6.52
Apolinaras           Auditera              5.20                5.44
Apolinaras           Ceberekas             7.60                7.44
Apolinaras           Abaranas              5.40                5.56
Apolinaras           Farsavicius           5.60                5.20
Apolinaras           Ecka                  7.80                7.20
Apolinaras           Ecka                  7.80                7.84
Apolinaras           Jablanskas            5.40                5.32
Apolinaras           Fenclavas             5.00                5.36
Apolinaras           Zabaliuna             6.40                6.68
Apolinaras           Carkauskas            5.80                5.40
Apolinaras           Carkauskas            6.20                6.52
Apolinaras           Carkauskas            6.80                6.72
Apolinaras           Abaranas              6.20                6.64
Apolinaras           Auditera              6.60                6.52
Apolinaras           Carkauskas            5.80                6.00
Apolinaras           Donelaitis            5.20                5.64
Apolinaras           Ceberekas             7.40                7.28
Apolinaras           Ceberekas             7.20                7.04
Apolinaras           Carkus                6.40                6.28
Apolinaras           Ecka                  7.20                7.00
Apolinaras           Carkauskas            6.40                6.52
Apolinaras           Carkauskas            7.40                7.28
Apolinaras           Donelaitis            7.60                7.76
Drovydas             Carkauskas            5.80                5.76
Drovydas             Zabaliuna             6.00                5.92
Drovydas             Ferdinandas           7.80                7.92
Drovydas             Carkus                8.00                7.92
Drovydas             Auditera              6.20                6.24
Drovydas             Jablanskas            5.60                5.56
Drovydas             Fenclavas             5.60                5.24
Drovydas             Donelaitis            8.40                7.64
Drovydas             Jablanskas            6.00                6.28
Drovydas             Donelaitis            5.00                5.20
Drovydas             Carkus                6.00                6.20
Drovydas             Carkus                6.60                6.96
Drovydas             Abaranas              5.80                5.48
Drovydas             Ecka                  7.80                7.44
Drovydas             Fenclavas             8.00                7.92
Drovydas             Ochmanas              8.20                8.04
Drovydas             Carkus                7.40                7.32
Drovydas             Carkus                6.00                5.88
Drovydas             Auditera              7.80                7.44
Drovydas             Abaranas              6.60                6.24
Drovydas             Carkauskas            5.40                5.32
Drovydas             Abaranas              5.60                5.48
Drovydas             Carkauskas            6.60                7.20
Drovydas             Farsavicius           6.40                6.56
Drovydas             Fenclavas             6.20                6.24
Drovydas             Jablanskas            5.60                5.56
Drovydas             Carkus                6.20                6.20
Drovydas             Ezynas                6.60                6.48
Drovydas             Ochmanas              6.00                6.04
Drovydas             Jablanskas            6.40                6.28
Drovydas             Ecka                  6.20                5.72
Drovydas             Donelaitis            7.60                7.76
Drovydas             Ceberekas             6.60                7.16
Drovydas             Ferdinandas           7.80                7.60
Drovydas             Ochmanas              6.60                6.92
Drovydas             Ferdinandas           8.20                8.08
Drovydas             Fabricijus            6.80                6.52
Drovydas             Fenclavas             9.00                8.44
Drovydas             Ferdinandas           5.80                5.72
Dzeremajus           Ferdinandas           7.20                7.00
Dzeremajus           Fenclavas             8.40                8.04
Dzeremajus           Fabricijus            7.00                7.08
Dzeremajus           Ecka                  6.40                5.84
Dzeremajus           Carkus                8.00                7.80
Dzeremajus           Farsavicius           7.80                7.88
Dzeremajus           Ferdinandas           7.60                7.44
Dzeremajus           Ecka                  5.60                5.56
Dzeremajus           Ecka                  6.60                6.28
Dzeremajus           Farsavicius           7.00                7.04
Dzeremajus           Jablanskas            4.80                5.04
Dzeremajus           Farsavicius           7.80                7.88
Dzeremajus           Abaranas              5.60                5.04
Dzeremajus           Jablanskas            6.40                6.52
Dzeremajus           Farsavicius           5.20                5.40
Dzeremajus           Farsavicius           6.60                6.36
Dzeremajus           Zabaliuna             5.80                6.36
Dzeremajus           Fenclavas             5.00                5.12
Dzeremajus           Abaranas              5.00                5.40
Dzeremajus           Farsavicius           7.00                7.36
Dzeremajus           Farsavicius           7.80                7.08
Dzeremajus           Ochmanas              7.60                7.36
Dzeremajus           Ezynas                5.80                6.32
Dzeremajus           Jablanskas            5.80                5.72
Dzeremajus           Carkauskas            8.80                8.56
Dzeremajus           Fenclavas             7.40                7.80
Dzeremajus           Ceberekas             6.20                5.68
Dzeremajus           Donelaitis            5.60                5.52
Dzeremajus           Farsavicius           8.20                8.12
Dzeremajus           Ezynas                5.60                5.52
Dzeremajus           Donelaitis            5.00                5.24
Dzeremajus           Carkus                8.40                8.20
Dzeremajus           Fenclavas             5.80                5.24
Dziuzepe             Auditera              6.80                6.72
Dziuzepe             Zabaliuna             7.20                7.36
Dziuzepe             Donelaitis            8.00                7.60
Dziuzepe             Carkauskas            7.40                6.80
Dziuzepe             Auditera              6.80                6.72
Dziuzepe             Ochmanas              7.60                7.48
Dziuzepe             Ochmanas              7.20                7.16
Dziuzepe             Fabricijus            7.80                7.60
Dziuzepe             Ochmanas              4.80                5.20
Dziuzepe             Ezynas                6.00                5.56
Dziuzepe             Ceberekas             7.40                7.04
Dziuzepe             Auditera              5.60                6.00
Dziuzepe             Ezynas                8.00                7.56
Dziuzepe             Zabaliuna             6.20                6.44
Dziuzepe             Abaranas              6.80                6.72
Dziuzepe             Ezynas                7.00                7.16
Dziuzepe             Ferdinandas           6.20                5.84
Dziuzepe             Ochmanas              6.60                6.72
Dziuzepe             Carkus                4.80                5.12
Dziuzepe             Ceberekas             6.00                6.24
Dziuzepe             Ochmanas              6.80                6.92
Dziuzepe             Jablanskas            6.20                5.88
Dziuzepe             Fenclavas             7.60                7.68
Dziuzepe             Fabricijus            5.20                5.40
Dziuzepe             Auditera              8.40                8.12
Dziuzepe             Auditera              7.00                7.08
Dziuzepe             Abaranas              8.40                8.08
Dziuzepe             Donelaitis            6.60                6.68
Dziuzepe             Farsavicius           7.00                7.12
Dziuzepe             Carkauskas            5.20                5.16
Dziuzepe             Fenclavas             7.00                6.80
Dziuzepe             Ceberekas             7.60                7.64
Edomondas            Ferdinandas           8.40                8.32
Edomondas            Carkus                5.20                5.16
Edomondas            Ceberekas             7.60                7.72
Edomondas            Ecka                  7.60                7.28
Edomondas            Farsavicius           5.80                5.68
Edomondas            Ecka                  6.20                6.76
Edomondas            Zabaliuna             5.40                5.64
Edomondas            Carkauskas            5.80                6.12
Edomondas            Fenclavas             5.80                5.48
Edomondas            Auditera              6.40                5.92
Edomondas            Fenclavas             8.40                7.96
Edomondas            Carkus                8.40                8.12
Edomondas            Farsavicius           5.20                5.48
Edomondas            Carkauskas            7.40                7.32
Edomondas            Ochmanas              7.00                7.12
Edomondas            Zabaliuna             6.20                6.96
Edomondas            Donelaitis            5.80                5.80
Edomondas            Fenclavas             5.20                5.24
Edomondas            Farsavicius           5.80                5.72
Edomondas            Donelaitis            7.80                7.48
Edomondas            Auditera              5.20                5.40
Edomondas            Zabaliuna             8.20                7.96
Edomondas            Carkus                7.40                7.64
Edomondas            Ochmanas              7.40                7.28
Edomondas            Ochmanas              4.80                5.00
Edomondas            Zabaliuna             8.20                7.64
Edomondas            Auditera              7.20                7.04
Edomondas            Jablanskas            7.60                7.52
Edomondas            Ezynas                7.60                7.48
Edomondas            Auditera              6.00                5.56
Edomondas            Fenclavas             7.00                7.20
Edomondas            Carkauskas            5.20                5.20
Edomondas            Ferdinandas           6.40                6.20
Edomondas            Carkauskas            6.80                7.00
Edomondas            Ochmanas              8.80                8.52
Edomondas            Fenclavas             5.80                5.64
Fiulgensas           Zabaliuna             7.80                7.92
Fiulgensas           Carkus                6.40                5.88
Fiulgensas           Fabricijus            7.60                7.48
Fiulgensas           Ochmanas              5.80                5.44
Fiulgensas           Zabaliuna             8.40                8.20
Fiulgensas           Ochmanas              5.40                5.44
Fiulgensas           Carkauskas            5.40                5.48
Fiulgensas           Ezynas                8.00                7.80
Fiulgensas           Ezynas                6.80                6.72
Fiulgensas           Jablanskas            5.00                5.20
Fiulgensas           Ferdinandas           6.60                6.16
Fiulgensas           Jablanskas            7.20                7.28
Fiulgensas           Jablanskas            5.00                5.00
Fiulgensas           Ceberekas             7.40                7.36
Fiulgensas           Ceberekas             7.40                7.68
Fiulgensas           Farsavicius           8.00                7.96
Fiulgensas           Ceberekas             6.40                6.56
Fiulgensas           Ecka                  7.20                7.08
Fiulgensas           Carkus                6.20                5.68
Fiulgensas           Ferdinandas           6.00                5.52
Fiulgensas           Ferdinandas           5.40                5.12
Fiulgensas           Ceberekas             6.80                7.56
Fiulgensas           Carkus                6.00                5.92
Fiulgensas           Farsavicius           7.00                7.44
Fiulgensas           Jablanskas            5.20                5.40
Fiulgensas           Jablanskas            7.60                7.16
Fiulgensas           Farsavicius           6.60                6.48
Fiulgensas           Ochmanas              4.80                5.04
Fiulgensas           Carkus                7.60                7.76
Fiulgensas           Abaranas              7.00                6.76
Fiulgensas           Ecka                  9.00                8.56
Fiulgensas           Jablanskas            6.40                5.92
Fiulgensas           Jablanskas            6.40                6.04
Gedgaudas            Donelaitis            7.20                7.56
Gedgaudas            Ecka                  6.80                6.84
Gedgaudas            Carkauskas            8.20                7.84
Gedgaudas            Carkauskas            5.60                5.04
Gedgaudas            Fabricijus            7.00                7.16
Gedgaudas            Ezynas                8.60                8.36
Gedgaudas            Fabricijus            4.80                5.32
Gedgaudas            Ecka                  5.40                5.32
Gedgaudas            Zabaliuna             6.40                7.20
Gedgaudas            Fabricijus            5.60                5.60
Gedgaudas            Farsavicius           7.80                7.92
Gedgaudas            Ochmanas              5.20                5.20
Gedgaudas            Zabaliuna             7.60                7.68
Gedgaudas            Ceberekas             5.20                5.16
Gedgaudas            Fenclavas             8.00                7.80
Gedgaudas            Carkauskas            6.40                6.56
Gedgaudas            Auditera              6.20                6.24
Gedgaudas            Ezynas                5.60                5.72
Gedgaudas            Farsavicius           8.60                8.32
Gedgaudas            Zabaliuna             7.40                7.44
Gedgaudas            Carkus                6.80                6.60
Gedgaudas            Farsavicius           8.00                8.00
Gedgaudas            Abaranas              5.00                5.40
Gedgaudas            Ferdinandas           6.00                6.36
Gedgaudas            Ceberekas             5.60                5.04
Gedgaudas            Ceberekas             5.00                5.20
Gedgaudas            Zabaliuna             4.60                5.28
Gedgaudas            Auditera              5.40                5.04
Gedgaudas            Ochmanas              6.40                6.04
Gedgaudas            Jablanskas            5.60                5.20
Gedgaudas            Fenclavas             8.60                8.32
Gedgaudas            Auditera              5.60                5.16
Gedgaudas            Ecka                  7.40                7.72
Gedgaudas            Carkus                6.40                6.92
Gedgaudas            Auditera              5.20                5.60
Gedgaudas            Ezynas                7.20                7.40
Gedgaudas            Fenclavas             8.20                8.16
Gedgaudas            Farsavicius           6.00                5.64
Girrvydas            Carkus                7.20                7.20
Girrvydas            Fenclavas             4.80                5.20
Girrvydas            Ceberekas             7.60                7.64
Girrvydas            Fenclavas             6.00                6.28
Girrvydas            Farsavicius           8.00                8.04
Girrvydas            Fenclavas             4.80                5.00
Girrvydas            Ceberekas             5.20                5.28
Girrvydas            Auditera              7.40                7.24
Girrvydas            Fenclavas             5.40                5.28
Girrvydas            Jablanskas            6.80                6.84
Girrvydas            Fabricijus            6.00                5.64
Girrvydas            Zabaliuna             6.00                5.28
Girrvydas            Ferdinandas           6.00                5.52
Girrvydas            Ochmanas              6.60                6.52
Girrvydas            Ceberekas             7.60                7.40
Girrvydas            Abaranas              4.40                5.00
Girrvydas            Ferdinandas           5.40                5.68
Girrvydas            Ferdinandas           7.60                7.88
Girrvydas            Abaranas              7.60                7.88
Girrvydas            Carkus                6.40                6.56
Girrvydas            Auditera              8.40                8.20
Girrvydas            Zabaliuna             7.00                8.00
Girrvydas            Donelaitis            5.20                5.64
Girrvydas            Ochmanas              7.20                7.20
Girrvydas            Ochmanas              7.00                7.04
Girrvydas            Ochmanas              8.20                8.20
Girrvydas            Abaranas              7.20                6.88
Girrvydas            Abaranas              8.00                7.92
Girrvydas            Jablanskas            5.20                5.24
